Lead_ID,Lead_Source,Region,Industry,Company_Size,Sales_Agent,Number_of_Calls,Number_of_Emails,Last_Interaction_Days,Contacted,Response,Converted,Deal_Value,Date_Created
LEAD_0237,LinkedIn,Central,Education,Enterprise,Amit,0.0,16.0,71,No,Positive,0,0.0,2025-04-21
LEAD_0238,Referral,South,Technology,Small,Vikram,4.0,7.0,50,No,Negative,0,0.0,2025-12-09
LEAD_0239,Referral,North,Healthcare,Enterprise,Sneha,18.0,7.0,179,Yes,Negative,0,0.0,2026-01-15
LEAD_0240,LinkedIn,North,Retail,Enterprise,Sneha,17.0,15.0,15,Yes,No Response,1,127940.73,2024-10-05
LEAD_0241,Referral,West,Healthcare,Small,Vikram,1.0,7.0,55,No,Negative,0,0.0,2024-07-18
LEAD_0242,LinkedIn,East,Education,Small,Priya,10.0,0.0,54,Yes,No Response,0,0.0,2024-12-22
LEAD_0243,Website,South,Education,Medium,Vikram,12.0,21.0,139,No,Negative,1,139686.87,2024-06-10
LEAD_0244,LinkedIn,Central,Healthcare,Small,Amit,13.0,7.0,20,No,No Response,1,25292.84,2025-07-16
LEAD_0245,Referral,East,Technology,Large,Sneha,15.0,7.0,92,No,Negative,1,143454.47,2024-07-26
LEAD_0246,Email Campaign,West,Technology,Large,Priya,2.0,2.0,69,Yes,Negative,0,0.0,2025-03-01
LEAD_0247,Referral,East,Healthcare,Small,Amit,0.0,30.0,79,No,Negative,1,96915.63,2025-10-07
LEAD_0248,LinkedIn,South,Retail,Enterprise,Vikram,17.0,16.0,105,Yes,Positive,1,19823.56,2024-09-29
LEAD_0249,Email Campaign,North,Education,Large,Sneha,0.0,9.0,106,No,Positive,0,0.0,2025-11-11
LEAD_0250,Cold Call,Central,Education,Medium,Neha,12.0,5.0,36,No,Negative,1,86132.8,2025-09-30
LEAD_0251,Cold Call,North,Finance,Enterprise,Rahul,13.0,9.0,124,Yes,Negative,0,0.0,2024-05-07
LEAD_0252,Cold Call,West,Education,Medium,Sneha,3.0,4.0,78,Yes,Negative,0,0.0,2026-05-05
LEAD_0253,Email Campaign,West,Healthcare,Enterprise,Rahul,13.0,26.0,167,Yes,Negative,0,0.0,2025-08-02
LEAD_0254,Cold Call,West,Healthcare,Medium,Sneha,10.0,9.0,178,No,No Response,0,0.0,2026-02-20
LEAD_0255,Website,West,Healthcare,Small,Vikram,6.0,18.0,140,Yes,No Response,1,52253.5,2025-01-23
LEAD_0256,Referral,South,Retail,Large,Neha,2.0,26.0,105,No,Positive,1,8902.84,2025-10-31
LEAD_0257,Cold Call,East,Finance,Enterprise,Sneha,2.0,14.0,154,No,No Response,0,0.0,2026-03-23
LEAD_0258,Email Campaign,West,Education,Small,Rahul,17.0,19.0,164,Yes,Positive,0,0.0,2026-05-04
LEAD_0259,Website,South,Education,Small,Vikram,20.0,21.0,166,No,,1,100352.24,2024-10-19
LEAD_0260,LinkedIn,North,Healthcare,Medium,Vikram,16.0,17.0,149,Yes,Negative,1,67416.05,2025-05-27
LEAD_0261,Referral,Central,Education,Medium,Rahul,0.0,15.0,27,No,Negative,0,0.0,2025-07-10
LEAD_0262,Cold Call,East,Healthcare,Large,Sneha,6.0,16.0,124,No,Negative,1,17448.95,2024-09-22
LEAD_0263,Referral,East,Technology,Large,Amit,3.0,0.0,88,Yes,No Response,0,0.0,2024-10-31
LEAD_0264,Cold Call,Central,Finance,Medium,Rahul,17.0,13.0,119,Yes,Negative,1,139838.75,2024-07-10
LEAD_0265,Cold Call,West,Retail,Small,Neha,19.0,28.0,51,No,No Response,0,0.0,2026-04-27
LEAD_0266,LinkedIn,South,Finance,Large,Neha,2.0,18.0,27,Yes,Negative,0,0.0,2025-10-17
LEAD_0267,Referral,North,Healthcare,Enterprise,Vikram,20.0,10.0,153,No,No Response,0,0.0,2024-10-04
LEAD_0268,LinkedIn,East,Healthcare,Enterprise,Vikram,5.0,26.0,173,No,No Response,0,0.0,2026-04-06
LEAD_0269,Cold Call,East,Technology,Medium,Rahul,3.0,5.0,96,Yes,No Response,0,0.0,2025-08-30
LEAD_0270,Email Campaign,South,Education,Enterprise,Sneha,5.0,15.0,163,Yes,No Response,0,0.0,2024-12-26
LEAD_0271,Website,South,Finance,Large,Sneha,19.0,1.0,92,Yes,Negative,0,0.0,2024-05-07
LEAD_0272,Referral,Central,Education,Enterprise,Sneha,15.0,13.0,114,No,Positive,0,0.0,2024-09-19
LEAD_0273,LinkedIn,South,Healthcare,Small,Rahul,7.0,17.0,74,Yes,Negative,0,0.0,2025-04-10
LEAD_0274,Referral,Central,Education,Small,Vikram,3.0,8.0,140,No,No Response,0,0.0,2024-09-15
LEAD_0275,Referral,Central,Finance,Enterprise,Amit,20.0,24.0,64,No,Positive,1,11033.53,2024-08-23
LEAD_0276,Website,North,Retail,Small,Priya,6.0,25.0,151,No,No Response,0,0.0,2024-08-08
LEAD_0277,Referral,South,Education,Medium,Priya,6.0,25.0,16,No,,0,0.0,2025-02-04
LEAD_0278,Email Campaign,South,Healthcare,Large,Rahul,18.0,8.0,132,Yes,Positive,0,0.0,2024-08-13
LEAD_0279,LinkedIn,East,Finance,Medium,Priya,4.0,22.0,83,Yes,No Response,1,118925.2,2024-11-19
LEAD_0280,Cold Call,Central,Healthcare,Enterprise,Sneha,14.0,2.0,163,Yes,Negative,0,0.0,2024-08-13
LEAD_0281,Website,East,Retail,Enterprise,Rahul,18.0,0.0,24,No,,0,0.0,2026-03-15
LEAD_0282,LinkedIn,Central,Retail,Medium,Sneha,6.0,15.0,69,No,Negative,1,56942.3,2025-03-12
LEAD_0283,Email Campaign,South,Education,Enterprise,Rahul,1.0,1.0,26,No,Positive,0,0.0,2026-01-20
LEAD_0284,Cold Call,West,Retail,Small,Sneha,6.0,22.0,34,No,Positive,0,0.0,2025-04-06
LEAD_0285,LinkedIn,East,Healthcare,Small,Rahul,20.0,5.0,14,No,No Response,1,132106.28,2025-01-09
LEAD_0286,Cold Call,West,Technology,Small,Amit,6.0,,20,Yes,No Response,0,0.0,2024-07-03
LEAD_0287,Referral,North,Technology,Large,Amit,13.0,22.0,34,No,Positive,0,0.0,2025-12-10
LEAD_0288,LinkedIn,North,Technology,Large,Rahul,9.0,4.0,98,Yes,No Response,0,0.0,2025-12-16
LEAD_0289,Email Campaign,Central,Technology,Medium,Sneha,11.0,23.0,55,Yes,Negative,1,25713.69,2025-01-25
LEAD_0290,Referral,South,Technology,Small,Priya,3.0,18.0,99,No,Negative,0,0.0,2025-11-19
LEAD_0291,Cold Call,South,Healthcare,Small,Priya,17.0,19.0,154,No,No Response,0,0.0,2025-10-06
LEAD_0292,Website,South,Education,Medium,Neha,12.0,9.0,166,Yes,Positive,0,0.0,2025-01-09
LEAD_0293,LinkedIn,South,Retail,Small,Vikram,0.0,11.0,82,Yes,Negative,0,0.0,2025-09-18
LEAD_0294,Website,Central,Finance,Enterprise,Amit,0.0,18.0,18,Yes,Negative,1,87415.16,2024-09-11
LEAD_0295,LinkedIn,West,Education,Large,Neha,16.0,24.0,107,No,No Response,0,0.0,2024-08-17
LEAD_0296,Email Campaign,Central,Education,Medium,Rahul,2.0,9.0,21,Yes,Positive,0,0.0,2024-09-17
LEAD_0297,Referral,Central,Technology,Large,Neha,13.0,23.0,62,Yes,Positive,0,0.0,2025-04-22
LEAD_0298,Referral,North,Retail,Small,Rahul,5.0,3.0,4,Yes,No Response,0,0.0,2025-01-04
LEAD_0299,Referral,East,Education,Large,Priya,11.0,4.0,69,Yes,Positive,0,0.0,2025-01-22
LEAD_0300,Referral,East,Education,Small,Rahul,18.0,20.0,20,No,Negative,0,0.0,2024-09-22
LEAD_0301,LinkedIn,West,Education,Medium,Rahul,5.0,8.0,27,Yes,Positive,0,0.0,2025-06-19
LEAD_0302,LinkedIn,South,Technology,Enterprise,Rahul,12.0,29.0,39,Yes,Positive,1,5372.43,2025-04-25
LEAD_0303,Referral,South,Healthcare,Medium,Sneha,10.0,8.0,20,No,Positive,0,0.0,2026-05-02
LEAD_0304,LinkedIn,South,Finance,Small,Sneha,2.0,28.0,120,No,Negative,0,0.0,2025-12-09
LEAD_0305,Email Campaign,West,Technology,Large,Priya,9.0,18.0,78,Yes,Negative,0,0.0,2025-03-12
LEAD_0306,Referral,South,Education,Medium,Priya,0.0,29.0,105,Yes,,0,0.0,2026-04-15
LEAD_0307,LinkedIn,East,Technology,Enterprise,Neha,9.0,3.0,53,Yes,Negative,0,0.0,2025-02-17
LEAD_0308,LinkedIn,South,Healthcare,Small,Amit,7.0,28.0,134,No,No Response,0,0.0,2025-07-16
LEAD_0309,LinkedIn,Central,Technology,Medium,Neha,12.0,2.0,152,Yes,Negative,1,71476.41,2025-01-28
LEAD_0310,Website,East,Healthcare,Enterprise,Neha,10.0,10.0,116,No,Positive,1,23952.7,2026-01-26
LEAD_0311,Cold Call,South,Education,Small,Priya,3.0,5.0,116,No,Negative,0,0.0,2025-10-06
LEAD_0312,Email Campaign,East,Finance,Enterprise,Rahul,14.0,8.0,31,Yes,Positive,0,0.0,2025-07-28
LEAD_0313,Email Campaign,North,Finance,Large,Priya,2.0,22.0,64,No,Negative,1,49111.17,2025-04-10
LEAD_0314,Website,East,Finance,Small,Sneha,14.0,17.0,141,Yes,Positive,0,0.0,2025-01-03
LEAD_0315,Cold Call,North,Technology,Small,Priya,4.0,6.0,103,No,No Response,0,0.0,2024-11-19
LEAD_0316,LinkedIn,Central,Education,Large,Amit,0.0,2.0,51,No,Positive,0,0.0,2025-08-05
LEAD_0317,Website,North,Technology,Enterprise,Amit,5.0,29.0,147,No,No Response,0,0.0,2024-11-11
LEAD_0318,LinkedIn,West,Retail,Medium,Rahul,6.0,29.0,48,No,Negative,0,0.0,2024-10-24
LEAD_0319,Cold Call,North,Education,Medium,Neha,9.0,15.0,106,No,Positive,0,0.0,2025-02-19
LEAD_0320,Referral,South,Retail,Medium,Neha,16.0,7.0,162,Yes,Negative,0,0.0,2024-05-15
LEAD_0321,Email Campaign,West,Healthcare,Large,Sneha,8.0,5.0,7,No,No Response,1,57071.26,2025-08-22
LEAD_0322,Website,North,Retail,Large,Vikram,7.0,5.0,26,Yes,No Response,0,0.0,2024-07-05
LEAD_0323,Email Campaign,North,Finance,Enterprise,Rahul,5.0,5.0,61,No,No Response,0,0.0,2024-08-31
LEAD_0324,LinkedIn,East,Education,Medium,Vikram,6.0,26.0,127,No,Positive,1,137527.1,2024-05-12
LEAD_0325,LinkedIn,North,Finance,Medium,Amit,16.0,,1,No,No Response,0,0.0,2024-06-27
LEAD_0326,Cold Call,East,Finance,Large,Amit,0.0,4.0,151,Yes,Positive,0,0.0,2025-10-13
LEAD_0327,LinkedIn,East,Retail,Small,Rahul,9.0,10.0,35,Yes,No Response,1,129797.07,2025-03-29
LEAD_0328,Referral,East,Finance,Large,Priya,18.0,,45,No,Negative,1,119817.17,2025-04-29
LEAD_0329,Cold Call,North,Education,Enterprise,Vikram,1.0,5.0,155,No,No Response,1,47705.0,2025-01-22
LEAD_0330,Email Campaign,North,Retail,Medium,Rahul,2.0,7.0,89,No,Positive,0,0.0,2025-12-15
LEAD_0331,LinkedIn,East,Retail,Small,Rahul,6.0,7.0,178,Yes,Negative,0,0.0,2024-07-01
LEAD_0332,LinkedIn,North,Technology,Enterprise,Sneha,13.0,5.0,106,No,Negative,0,0.0,2026-01-04
LEAD_0333,Referral,North,Retail,Medium,Priya,14.0,2.0,9,No,Positive,0,0.0,2025-07-10
LEAD_0334,LinkedIn,North,Healthcare,Medium,Sneha,5.0,23.0,20,Yes,Negative,0,0.0,2024-12-18
LEAD_0335,Email Campaign,West,Technology,Enterprise,Neha,5.0,19.0,112,Yes,Positive,0,0.0,2024-05-25
LEAD_0336,Cold Call,South,Retail,Large,Neha,9.0,9.0,61,Yes,Positive,0,0.0,2025-08-25
LEAD_0337,Email Campaign,West,Finance,Small,Rahul,0.0,,23,No,No Response,0,0.0,2025-11-08
LEAD_0338,Referral,South,Technology,Small,Priya,5.0,20.0,75,Yes,Negative,0,0.0,2024-08-15
LEAD_0339,Referral,West,Retail,Large,Amit,20.0,17.0,100,Yes,Negative,1,49711.24,2024-06-04
LEAD_0340,Referral,North,Healthcare,Enterprise,Sneha,8.0,7.0,69,Yes,Positive,1,58563.24,2025-08-25
LEAD_0341,LinkedIn,East,Education,Enterprise,Vikram,7.0,17.0,16,No,No Response,1,101782.93,2025-08-30
LEAD_0342,Email Campaign,West,Education,Medium,Sneha,9.0,2.0,102,Yes,No Response,0,0.0,2024-08-18
LEAD_0343,Email Campaign,Central,Education,Medium,Amit,14.0,5.0,43,Yes,Positive,0,0.0,2026-03-04
LEAD_0344,Referral,North,Retail,Medium,Neha,4.0,26.0,153,No,Negative,0,0.0,2025-08-23
LEAD_0345,LinkedIn,North,Retail,Enterprise,Vikram,10.0,27.0,71,No,Positive,1,137555.22,2024-07-02
LEAD_0346,Email Campaign,West,Technology,Enterprise,Priya,4.0,18.0,151,Yes,Positive,1,95343.4,2025-04-03
LEAD_0347,LinkedIn,East,Education,Large,Sneha,8.0,12.0,168,No,No Response,0,0.0,2024-10-14
LEAD_0348,LinkedIn,South,Healthcare,Enterprise,Priya,19.0,19.0,175,No,Positive,0,0.0,2025-04-04
LEAD_0349,Website,South,Technology,Enterprise,Rahul,11.0,0.0,87,No,Negative,0,0.0,2024-06-01
LEAD_0350,Referral,North,Finance,Medium,Rahul,14.0,24.0,83,No,No Response,0,0.0,2025-03-06
LEAD_0351,LinkedIn,South,Retail,Medium,Sneha,15.0,,133,No,Positive,0,0.0,2024-08-04
LEAD_0352,Cold Call,North,Healthcare,Enterprise,Priya,16.0,28.0,146,Yes,Positive,0,0.0,2026-03-22
LEAD_0353,Cold Call,North,Finance,Small,Sneha,1.0,29.0,93,Yes,Negative,0,0.0,2025-08-11
LEAD_0354,Referral,Central,Retail,Small,Neha,0.0,7.0,96,No,No Response,0,0.0,2024-12-21
LEAD_0355,Referral,Central,Education,Large,Rahul,5.0,26.0,67,Yes,Negative,0,0.0,2025-01-22
LEAD_0356,LinkedIn,South,Education,Medium,Priya,20.0,7.0,174,Yes,Negative,0,0.0,2024-09-17
LEAD_0357,LinkedIn,West,Finance,Medium,Vikram,0.0,7.0,65,No,No Response,1,79425.78,2026-03-15
LEAD_0358,Referral,West,Healthcare,Enterprise,Rahul,,14.0,78,No,No Response,1,98197.35,2024-12-28
LEAD_0359,Email Campaign,East,Education,Large,Rahul,3.0,15.0,17,No,Negative,0,0.0,2025-09-14
LEAD_0360,Website,East,Healthcare,Medium,Priya,16.0,24.0,62,Yes,No Response,0,0.0,2024-11-17
LEAD_0361,Website,South,Technology,Enterprise,Rahul,8.0,29.0,108,No,Negative,0,0.0,2026-03-07
LEAD_0362,Email Campaign,South,Healthcare,Medium,Neha,17.0,20.0,122,No,No Response,1,89538.44,2024-07-21
LEAD_0363,Cold Call,Central,Finance,Large,Amit,15.0,4.0,67,Yes,No Response,0,0.0,2024-08-06
LEAD_0364,Cold Call,East,Finance,Large,Sneha,10.0,11.0,67,No,Negative,1,99893.02,2024-06-01
LEAD_0365,Email Campaign,Central,Education,Small,Sneha,6.0,16.0,31,No,No Response,1,73227.8,2024-09-14
LEAD_0366,LinkedIn,South,Finance,Medium,Rahul,13.0,18.0,118,Yes,Negative,0,0.0,2024-11-27
LEAD_0367,LinkedIn,West,Healthcare,Medium,Rahul,20.0,1.0,2,No,Negative,1,31151.73,2025-10-19
LEAD_0368,Cold Call,Central,Finance,Enterprise,Amit,4.0,19.0,112,No,Negative,0,0.0,2026-01-29
LEAD_0369,Referral,West,Technology,Small,Vikram,6.0,23.0,96,Yes,Negative,0,0.0,2025-04-12
LEAD_0370,LinkedIn,North,Finance,Medium,Neha,11.0,9.0,34,Yes,Negative,1,81999.9,2025-09-18
LEAD_0371,Website,South,Technology,Small,Rahul,9.0,14.0,134,No,,0,0.0,2025-12-30
LEAD_0372,Website,West,Healthcare,Medium,Priya,12.0,0.0,59,Yes,No Response,1,149343.5,2025-03-10
LEAD_0373,LinkedIn,Central,Education,Medium,Amit,11.0,22.0,167,Yes,Negative,1,35622.58,2024-11-07
LEAD_0374,Email Campaign,Central,Technology,Small,Neha,3.0,20.0,6,Yes,No Response,1,42089.43,2025-05-22
LEAD_0375,Referral,West,Technology,Large,Sneha,4.0,6.0,178,Yes,Negative,0,0.0,2025-01-20
LEAD_0376,LinkedIn,Central,Healthcare,Medium,Sneha,3.0,16.0,159,Yes,Negative,0,0.0,2024-08-31
LEAD_0377,LinkedIn,West,Finance,Medium,Rahul,16.0,6.0,92,No,Negative,0,0.0,2025-06-12
LEAD_0378,Email Campaign,West,Finance,Enterprise,Rahul,7.0,0.0,4,Yes,Positive,0,0.0,2024-10-14
LEAD_0379,Cold Call,North,Education,Small,Neha,3.0,28.0,66,Yes,Negative,1,102008.18,2024-10-07
LEAD_0380,Referral,North,Technology,Medium,Amit,9.0,11.0,174,No,Negative,1,47923.22,2025-09-30
LEAD_0381,LinkedIn,North,Finance,Medium,Rahul,11.0,28.0,113,No,No Response,1,18774.78,2025-05-26
LEAD_0382,Website,South,Technology,Enterprise,Sneha,14.0,8.0,99,No,Negative,0,0.0,2025-11-29
LEAD_0383,Cold Call,North,Finance,Small,Priya,3.0,13.0,152,No,No Response,0,0.0,2024-11-28
LEAD_0384,Referral,East,Education,Small,Neha,4.0,15.0,125,Yes,Negative,1,31282.78,2026-03-11
LEAD_0385,LinkedIn,East,Healthcare,Small,Neha,,24.0,148,Yes,No Response,0,0.0,2024-11-18
LEAD_0386,Email Campaign,North,Retail,Medium,Sneha,11.0,21.0,174,No,Positive,1,80269.45,2024-12-09
LEAD_0387,Email Campaign,North,Technology,Medium,Vikram,15.0,27.0,127,Yes,Positive,1,85959.91,2024-11-09
LEAD_0388,Website,East,Technology,Medium,Vikram,20.0,12.0,104,Yes,Positive,1,51491.9,2025-05-27
LEAD_0389,Email Campaign,West,Technology,Enterprise,Sneha,10.0,3.0,128,Yes,Positive,0,0.0,2026-02-06
LEAD_0390,LinkedIn,Central,Education,Small,Amit,19.0,,159,No,No Response,0,0.0,2025-12-29
LEAD_0391,Referral,East,Healthcare,Small,Priya,14.0,10.0,144,No,No Response,0,0.0,2026-01-28
LEAD_0392,LinkedIn,North,Finance,Small,Rahul,11.0,26.0,163,No,No Response,1,108807.46,2025-12-07
LEAD_0393,LinkedIn,North,Finance,Enterprise,Priya,13.0,3.0,66,Yes,Positive,0,0.0,2025-12-25
LEAD_0394,Referral,South,Retail,Medium,Neha,10.0,3.0,107,Yes,No Response,0,0.0,2025-07-01
LEAD_0395,Referral,West,Education,Medium,Sneha,0.0,16.0,13,No,No Response,1,90377.61,2026-02-25
LEAD_0396,Email Campaign,South,Education,Medium,Neha,4.0,3.0,100,No,No Response,0,0.0,2024-10-31
LEAD_0397,Email Campaign,South,Healthcare,Enterprise,Rahul,9.0,14.0,35,Yes,Negative,1,65706.39,2024-09-30
LEAD_0398,Email Campaign,East,Education,Large,Neha,,20.0,56,Yes,Positive,0,0.0,2025-05-09
LEAD_0399,Website,East,Finance,Medium,Vikram,17.0,22.0,164,No,No Response,0,0.0,2025-04-30
LEAD_0400,Website,Central,Retail,Enterprise,Neha,17.0,9.0,109,Yes,No Response,0,0.0,2024-10-06
LEAD_0401,Referral,South,Technology,Small,Priya,8.0,24.0,42,No,No Response,0,0.0,2025-01-01
LEAD_0402,LinkedIn,East,Finance,Small,Rahul,14.0,3.0,158,Yes,No Response,0,0.0,2025-10-21
LEAD_0403,Referral,South,Education,Large,Neha,1.0,29.0,98,No,Negative,0,0.0,2024-11-02
LEAD_0404,Website,Central,Technology,Small,Neha,8.0,6.0,159,No,Positive,1,146494.29,2024-10-08
LEAD_0405,Website,Central,Education,Medium,Neha,6.0,9.0,115,Yes,No Response,1,107171.21,2025-11-25
LEAD_0406,Cold Call,Central,Technology,Enterprise,Amit,13.0,8.0,143,No,Positive,0,0.0,2025-07-05
LEAD_0407,Website,North,Healthcare,Enterprise,Neha,,1.0,40,No,No Response,0,0.0,2025-11-06
LEAD_0408,Email Campaign,East,Retail,Large,Amit,10.0,16.0,57,Yes,No Response,0,0.0,2024-05-23
LEAD_0409,Email Campaign,South,Retail,Enterprise,Amit,,7.0,55,No,Negative,0,0.0,2025-02-06
LEAD_0410,Cold Call,Central,Education,Enterprise,Vikram,20.0,0.0,30,No,Negative,0,0.0,2025-12-01
LEAD_0411,Email Campaign,Central,Finance,Small,Neha,10.0,12.0,30,No,Negative,0,0.0,2026-01-12
LEAD_0412,Website,North,Education,Large,Vikram,16.0,,125,Yes,Negative,0,0.0,2024-12-07
LEAD_0413,Email Campaign,North,Technology,Medium,Vikram,17.0,0.0,161,Yes,Positive,1,32914.3,2025-07-25
LEAD_0414,Referral,North,Finance,Enterprise,Neha,2.0,23.0,176,Yes,Positive,1,117169.43,2025-09-13
LEAD_0415,Website,North,Technology,Small,Amit,5.0,25.0,65,Yes,,0,0.0,2025-09-20
LEAD_0416,Referral,West,Retail,Enterprise,Sneha,10.0,0.0,100,Yes,No Response,1,137093.05,2024-08-02
LEAD_0417,Email Campaign,North,Education,Small,Neha,2.0,11.0,129,Yes,Negative,0,0.0,2024-06-09
LEAD_0418,LinkedIn,East,Retail,Enterprise,Sneha,0.0,15.0,41,Yes,Positive,1,48695.85,2025-02-14
LEAD_0419,Email Campaign,East,Finance,Large,Neha,20.0,11.0,3,Yes,Positive,1,120531.71,2025-01-13
LEAD_0420,Email Campaign,Central,Retail,Small,Rahul,6.0,23.0,89,Yes,Negative,0,0.0,2026-01-26
LEAD_0421,Cold Call,South,Finance,Medium,Vikram,8.0,6.0,30,Yes,No Response,1,128461.53,2026-04-13
LEAD_0422,Email Campaign,West,Education,Small,Rahul,2.0,8.0,26,Yes,No Response,1,128576.41,2026-01-28
LEAD_0423,Website,East,Finance,Medium,Amit,9.0,19.0,18,Yes,Negative,0,0.0,2024-09-05
LEAD_0424,Website,Central,Healthcare,Medium,Vikram,18.0,11.0,81,No,Positive,0,0.0,2025-07-27
LEAD_0425,Cold Call,South,Retail,Large,Rahul,4.0,21.0,85,No,Negative,0,0.0,2024-10-31
LEAD_0426,Website,West,Education,Small,Priya,20.0,19.0,21,No,Positive,0,0.0,2025-05-27
LEAD_0427,LinkedIn,North,Technology,Small,Vikram,18.0,12.0,152,Yes,Positive,1,33482.63,2025-11-27
LEAD_0428,Email Campaign,Central,Retail,Medium,Rahul,12.0,7.0,151,No,Positive,0,0.0,2025-06-20
LEAD_0429,Email Campaign,North,Retail,Large,Vikram,0.0,21.0,62,Yes,No Response,0,0.0,2024-05-20
LEAD_0430,Cold Call,South,Education,Medium,Neha,15.0,30.0,92,Yes,Positive,0,0.0,2024-07-15
LEAD_0431,Website,East,Finance,Small,Neha,6.0,16.0,93,No,Negative,1,38603.74,2024-08-22
LEAD_0432,LinkedIn,East,Technology,Large,Neha,8.0,18.0,140,Yes,Negative,1,132825.04,2026-01-16
LEAD_0433,LinkedIn,Central,Healthcare,Enterprise,Priya,16.0,12.0,91,No,Negative,1,57968.03,2025-07-18
LEAD_0434,LinkedIn,Central,Finance,Enterprise,Priya,7.0,2.0,132,No,,1,133639.93,2025-10-01
LEAD_0435,Cold Call,East,Education,Small,Neha,7.0,13.0,85,Yes,Negative,0,0.0,2024-08-16
LEAD_0436,Email Campaign,South,Retail,Small,Priya,1.0,4.0,147,Yes,Positive,1,74458.07,2025-08-18
LEAD_0437,LinkedIn,Central,Finance,Small,Priya,8.0,29.0,47,No,No Response,0,0.0,2025-03-19
LEAD_0438,Website,North,Finance,Enterprise,Vikram,15.0,27.0,124,Yes,Positive,1,97455.29,2024-11-23
LEAD_0439,Email Campaign,South,Education,Large,Priya,10.0,29.0,117,Yes,Positive,1,92121.61,2024-06-13
LEAD_0440,Cold Call,North,Technology,Medium,Vikram,16.0,21.0,108,Yes,No Response,0,0.0,2026-01-28
LEAD_0441,Referral,Central,Education,Small,Vikram,16.0,24.0,31,Yes,,0,0.0,2024-12-15
LEAD_0442,Email Campaign,North,Retail,Enterprise,Rahul,1.0,22.0,136,No,Positive,1,135787.79,2024-11-05
LEAD_0443,Referral,East,Education,Small,Sneha,4.0,8.0,123,Yes,Positive,1,74907.9,2026-01-09
LEAD_0444,Email Campaign,West,Healthcare,Medium,Amit,0.0,,134,Yes,No Response,0,0.0,2025-08-04
LEAD_0445,Cold Call,East,Retail,Large,Amit,4.0,13.0,167,No,Negative,0,0.0,2024-12-20
LEAD_0446,Website,Central,Healthcare,Enterprise,Priya,13.0,17.0,143,No,Positive,1,66416.42,2025-03-03
LEAD_0447,Email Campaign,West,Healthcare,Large,Vikram,11.0,24.0,102,Yes,No Response,0,0.0,2025-03-19
LEAD_0448,Cold Call,West,Finance,Small,Priya,16.0,12.0,87,Yes,Positive,0,0.0,2025-02-26
LEAD_0449,LinkedIn,North,Finance,Enterprise,Vikram,13.0,2.0,17,No,Positive,0,0.0,2025-11-18
LEAD_0450,Email Campaign,North,Retail,Enterprise,Vikram,20.0,16.0,74,Yes,Positive,0,0.0,2024-09-28
LEAD_0451,Referral,North,Finance,Large,Priya,1.0,25.0,154,Yes,No Response,0,0.0,2024-10-26
LEAD_0452,LinkedIn,East,Finance,Small,Priya,2.0,8.0,103,No,No Response,0,0.0,2025-01-31
LEAD_0453,Email Campaign,South,Education,Small,Neha,2.0,29.0,24,No,No Response,0,0.0,2026-04-22
LEAD_0454,Website,East,Healthcare,Medium,Vikram,6.0,14.0,104,Yes,Negative,1,137676.3,2025-12-10
LEAD_0455,Email Campaign,North,Education,Small,Vikram,9.0,10.0,30,No,No Response,0,0.0,2024-09-07
LEAD_0456,Referral,West,Education,Enterprise,Priya,10.0,30.0,118,No,No Response,1,88359.61,2025-04-21
LEAD_0457,Website,North,Retail,Medium,Neha,7.0,25.0,81,No,Negative,1,74885.67,2025-10-25
LEAD_0458,LinkedIn,East,Finance,Large,Amit,12.0,21.0,88,Yes,No Response,0,0.0,2025-07-07
LEAD_0459,Website,South,Education,Large,Priya,6.0,15.0,52,Yes,No Response,1,74100.54,2025-03-18
LEAD_0460,Website,South,Finance,Medium,Priya,19.0,11.0,40,Yes,Positive,0,0.0,2024-11-18
LEAD_0461,Referral,Central,Technology,Small,Sneha,11.0,19.0,81,No,No Response,1,102992.76,2024-11-25
LEAD_0462,Email Campaign,East,Retail,Medium,Vikram,4.0,1.0,135,No,Negative,1,76166.78,2025-10-04
LEAD_0463,Website,West,Finance,Enterprise,Amit,16.0,14.0,81,Yes,,1,9721.58,2024-12-22
LEAD_0464,LinkedIn,East,Healthcare,Large,Priya,17.0,8.0,61,No,Negative,1,60017.06,2024-08-23
LEAD_0465,Cold Call,West,Retail,Medium,Sneha,11.0,11.0,103,No,Negative,1,54748.99,2025-03-12
LEAD_0466,Cold Call,Central,Finance,Small,Neha,8.0,,61,No,Negative,0,0.0,2025-09-08
LEAD_0467,Cold Call,West,Technology,Medium,Sneha,15.0,4.0,162,No,Negative,0,0.0,2026-04-11
LEAD_0468,Email Campaign,Central,Technology,Enterprise,Amit,5.0,1.0,56,No,Negative,0,0.0,2024-05-28
LEAD_0469,Website,East,Healthcare,Large,Vikram,17.0,29.0,66,No,Positive,1,18963.77,2026-01-04
LEAD_0470,Website,Central,Finance,Medium,Rahul,11.0,10.0,173,No,No Response,0,0.0,2025-12-06
LEAD_0471,LinkedIn,West,Education,Large,Sneha,20.0,30.0,38,Yes,No Response,0,0.0,2025-07-14
LEAD_0472,Email Campaign,Central,Retail,Small,Amit,5.0,10.0,59,No,Negative,1,53921.3,2025-04-21
LEAD_0473,Email Campaign,West,Healthcare,Enterprise,Rahul,18.0,16.0,116,No,Positive,1,108012.86,2024-09-14
